n,wer,per,hallucination_rate,wer_no_halluc,technique
474,0.3512007706653518,0.2640847306774958,0.05907172995780591,0.12059302262001266,breathy
855,0.2950506032643955,0.19871394184418936,0.03391812865497076,0.1419476272389328,pharyngeal
333,0.18491941671855971,0.11749963333690376,0.05105105105105105,0.1311387787309136,glissando
675,0.15600907769100786,0.09782100575789959,0.016296296296296295,0.13650521201018623,vibrato
368,0.10912521084713216,0.06763403165710777,0.010869565217391304,0.09668624142159044,mixed_falsetto
